Name,Course Name,Holes,Public/Private,Phone,Address,Blurb
Shadow Hills Golf Club South Course, South Course,18 holes,Public,(760) 200-3375,"80875 Avenue 40 Indio, CA 92203-9439 ","18 holes over 6,773 yards with a par of 71 (Public) Write a Review Check Tee Times 80875 Avenue 40 Indio, CA 92203-9439 (760) 200-3375 7 miles from the center of Palm Desert. Write a Review Check Tee Times"
PGA West Stadium Clubhouse, Stadium Course,18 holes,Public,(760) 564-7101,"56150 Pga Blvd La Quinta, CA 92253-4600 ","18 holes over 7,261 yards with a par of 72 (Public) Write a Review Check Tee Times 56150 Pga Blvd La Quinta, CA 92253-4600 (760) 564-7101 8 miles from the center of Palm Desert. Write a Review Check Tee Times"
PGA West Stadium Clubhouse, Nicklaus Tournament Course,18 holes,Public,(760) 564-7101,"56150 Pga Blvd La Quinta, CA 92253-4600 ","18 holes over 7,126 yards with a par of 72 (Public) Write a Review Check Tee Times 56150 Pga Blvd La Quinta, CA 92253-4600 (760) 564-7101 8 miles from the center of Palm Desert. Write a Review Check Tee Times"
Indian Palms Country Club & Resort, Indian Course,9 holes,Public,(760) 775-4444,"48630 Monroe St Indio, CA 92201-7475 ","9 holes over 3,348 yards with a par of 36 (Public) Write a Review Check Tee Times 48630 Monroe St Indio, CA 92201-7475 (760) 775-4444 8 miles from the center of Palm Desert. Write a Review Check Tee Times"
Indian Palms Country Club & Resort, Mountain Course,9 holes,Public,(760) 775-4444,"48630 Monroe St Indio, CA 92201-7475 ","9 holes over 3,361 yards with a par of 36 (Public) Write a Review 48630 Monroe St Indio, CA 92201-7475 (760) 775-4444 8 miles from the center of Palm Desert. Write a Review Check Tee Times"
Indian Palms Country Club & Resort, Royal Course,9 holes,Public,(760) 775-4444,"48630 Monroe St Indio, CA 92201-7475 ","9 holes over 3,352 yards with a par of 36 (Public) Write a Review 48630 Monroe St Indio, CA 92201-7475 (760) 775-4444 8 miles from the center of Palm Desert. Write a Review Check Tee Times"
Shadow Hills Golf Club North Course, North Course,18 holes,Public,(760) 200-3375,"81420 N Sun City Blvd Indio, CA 92203-7595 ","18 holes over 1,435 yards with a par of 54 (Public) Write a Review Check Tee Times 81420 N Sun City Blvd Indio, CA 92203-7595 (760) 200-3375 8 miles from the center of Palm Desert. Write a Review Check Tee Times"
The Madison Club, Madison Course,18 holes,Private,(760) 391-4500,"53035 Meriwether Way La Quinta, CA 92253-5535 ","18 holes over 7,426 yards with a par of 72 (Private) Write a Review 53035 Meriwether Way La Quinta, CA 92253-5535 (760) 391-4500 8 miles from the center of Palm Desert. Write a Review"
Mission Hills North Gary Player Signature Course, Gary Player Signature Course,18 holes,Public,(760) 699-0111,"70705 Ramon Rd Rancho Mirage, CA 92270-5602 ","18 holes over 7,020 yards with a par of 72 (Public) Write a Review Check Tee Times 70705 Ramon Rd Rancho Mirage, CA 92270-5602 (760) 699-0111 8 miles from the center of Palm Desert. Write a Review Check Tee Times"
PGA West Private Golf Courses, Tom Weiskop Course,18 holes,Private,(760) 564-3914,"55955 Pga Blvd La Quinta, CA 92253-5677 ","18 holes over 7,164 yards with a par of 72 (Private) Write a Review 55955 Pga Blvd La Quinta, CA 92253-5677 (760) 564-3914 8 miles from the center of Palm Desert. Write a Review"
PGA West Private Golf Courses, Jack Nicklaus Course,18 holes,Private,(760) 564-3914,"55955 Pga Blvd La Quinta, CA 92253-5677 ","18 holes over 6,909 yards with a par of 72 (Private) Write a Review 55955 Pga Blvd La Quinta, CA 92253-5677 (760) 564-3914 8 miles from the center of Palm Desert. Write a Review"
PGA West Private Golf Courses, Arnold Palmer Course,18 holes,Private,(760) 564-3914,"55955 Pga Blvd La Quinta, CA 92253-5677 ","18 holes over 6,931 yards with a par of 72 (Private) Write a Review 55955 Pga Blvd La Quinta, CA 92253-5677 (760) 564-3914 8 miles from the center of Palm Desert. Write a Review"
